precid,huid,Block2010str,sex,race,hispan,randagePCT12,gqtype,hcb_lat,hcb_lon,Earnings,agegroupLODES,Education,jobtype,IndustryCode,NAICS2D,wet_lat,wet_lon,hcb_wet_line,SIName,od_distance
B371559602021039P0017,B371559602021039H010,B371559602021039,2,3.0,0.0,18.0,0.0,34.84496163245992,-79.10206758419059,1.0,1.0,0.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.10206758419059 34.84496163245992, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,25.645042677485403
B371559602021053P0054,B371559602021053H047,B371559602021053,1,3.0,0.0,18.0,0.0,34.83975812122583,-79.09462736604465,2.0,1.0,0.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.09462736604465 34.83975812122583, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,25.96188745327733
B371559606001042P0015,B371559606001042H013,B371559606001042,2,3.0,0.0,18.0,0.0,34.67665165075809,-79.1460200450295,1.0,1.0,0.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.1460200450295 34.67665165075809, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,18.7446706055888
B371559615001004P0086,B371559615001004H062,B371559615001004,2,1.0,0.0,18.0,0.0,34.60324987369988,-78.85709918161747,2.0,1.0,0.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.85709918161747 34.60324987369988, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,8.818913405064531
B371559618011065P0023,B371559618011065H013,B371559618011065,2,3.0,0.0,18.0,0.0,34.65479820319751,-79.2083499517729,1.0,1.0,0.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.2083499517729 34.65479820319751, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,3.3574639665797035
B371559601011007P0038,B371559601011007H010,B371559601011007,2,1.0,0.0,22.0,0.0,34.88157047538613,-78.95744734346005,2.0,1.0,0.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.95744734346005 34.88157047538613, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,20.644928905629857
B371559601011011P0043,B371559601011011H017,B371559601011011,2,1.0,0.0,55.0,0.0,34.89095757588127,-78.94192873683058,1.0,3.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.94192873683058 34.89095757588127, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,30.78059733358599
B371559601011035P0029,B371559601011035H005,B371559601011035,2,1.0,0.0,57.0,0.0,34.823931945887566,-78.91949078474744,3.0,3.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.91949078474744 34.823931945887566, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,5.120851538847846
B371559601011045P0088,B371559601011045H030,B371559601011045,1,1.0,1.0,54.0,0.0,34.833157417319775,-78.93387082702368,2.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.93387082702368 34.833157417319775, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,21.91887217314634
B371559601011046P0203,B371559601011046H030,B371559601011046,2,2.0,0.0,43.0,0.0,34.821318510303165,-78.90173649999855,1.0,2.0,4.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.90173649999855 34.821318510303165, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,30.838610177848484
B371559601011056P0195,B371559601011056H018,B371559601011056,2,3.0,0.0,38.0,0.0,34.789363900218895,-78.90091926154166,3.0,2.0,1.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.90091926154166 34.789363900218895, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,45.81535966298635
B371559601011061P0043,B371559601011061H006,B371559601011061,2,1.0,0.0,40.0,0.0,34.80675995086343,-78.9036613539094,2.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.9036613539094 34.80675995086343, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,23.044888668998865
