precid,huid,Block2010str,sex,race,hispan,randagePCT12,gqtype,hcb_lat,hcb_lon,gradelevel,ncs_lat,ncs_lon,SCHNAM09,NCESSCH,hcb_ncs_line
B371559607013047P0021,B371559607013047H013,B371559607013047,2,3.0,1.0,18.0,0.0,34.67349471682681,-79.02676017837098,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.02676017837098 34.67349471682681, -79.00006599999999 34.645515)"
B371559612002011P0022,B371559612002011H010,B371559612002011,2,1.0,0.0,18.0,0.0,34.621087965847416,-78.99838605955388,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -78.99838605955388 34.621087965847416, -79.00006599999999 34.645515)"
B371559613011015P0005,B371559613011015H001,B371559613011015,1,3.0,0.0,18.0,0.0,34.7070926090668,-78.99115209836263,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -78.99115209836263 34.7070926090668, -79.00006599999999 34.645515)"
B371559615001004P0086,B371559615001004H062,B371559615001004,2,1.0,0.0,18.0,0.0,34.60324987369988,-78.85709918161747,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -78.85709918161747 34.60324987369988, -79.00006599999999 34.645515)"
B371559606002040P0028,B371559606002040H021,B371559606002040,2,2.0,0.0,16.0,0.0,34.64899979724625,-79.0744479260538,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0027,B371559606002040H021,B371559606002040,2,2.0,0.0,16.0,0.0,34.64899979724625,-79.0744479260538,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0112,B371559606002040H038,B371559606002040,2,3.0,0.0,17.0,0.0,34.64899979724625,-79.0744479260538,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0076,B371559606002040H042,B371559606002040,1,3.0,0.0,18.0,0.0,34.64899979724625,-79.0744479260538,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0061,B371559606002040H048,B371559606002040,1,3.0,0.0,14.0,0.0,34.64899979724625,-79.0744479260538,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0114,B371559606002040H055,B371559606002040,2,3.0,0.0,16.0,0.0,34.64899979724625,-79.0744479260538,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0074,B371559606002040H056,B371559606002040,1,3.0,0.0,16.0,0.0,34.64899979724625,-79.0744479260538,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0115,B371559606002040H057,B371559606002040,2,3.0,0.0,17.0,0.0,34.64899979724625,-79.0744479260538,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0071,B371559606002040H058,B371559606002040,1,3.0,0.0,15.0,0.0,34.64899979724625,-79.0744479260538,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0072,B371559606002040H064,B371559606002040,1,3.0,0.0,17.0,0.0,34.64899979724625,-79.0744479260538,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0116,B371559606002040H065,B371559606002040,2,3.0,0.0,17.0,0.0,34.64899979724625,-79.0744479260538,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0070,B371559606002040H067,B371559606002040,1,3.0,0.0,16.0,0.0,34.64899979724625,-79.0744479260538,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0069,B371559606002040H068,B371559606002040,1,3.0,0.0,16.0,0.0,34.64899979724625,-79.0744479260538,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0110,B371559606002040H069,B371559606002040,2,3.0,0.0,14.0,0.0,34.64899979724625,-79.0744479260538,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0113,B371559606002040H069,B371559606002040,2,3.0,0.0,17.0,0.0,34.64899979724625,-79.0744479260538,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002040P0073,B371559606002040H070,B371559606002040,1,3.0,0.0,15.0,0.0,34.64899979724625,-79.0744479260538,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0744479260538 34.64899979724625, -79.00006599999999 34.645515)"
B371559606002044P0001,B371559606002044H005,B371559606002044,1,1.0,0.0,17.0,0.0,34.63361236811662,-79.06310059785962,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.06310059785962 34.63361236811662, -79.00006599999999 34.645515)"
B371559606002047P0014,B371559606002047H005,B371559606002047,1,3.0,0.0,10.0,0.0,34.62926439238901,-79.05342574927609,G04,34.624143,-79.03568299999999,WEST LUMBERTON ELEMENTARY,370393002248.0,"LINESTRING ( -79.05342574927609 34.62926439238901, -79.03568299999999 34.624143)"
B371559606002047P0013,B371559606002047H005,B371559606002047,1,3.0,0.0,7.0,0.0,34.62926439238901,-79.05342574927609,G01,34.624143,-79.03568299999999,WEST LUMBERTON ELEMENTARY,370393002248.0,"LINESTRING ( -79.05342574927609 34.62926439238901, -79.03568299999999 34.624143)"
